Номер,Название,Город,Адрес,Период,Иконка,Состояние
661711004760035,Корпус В (3 секции),Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 5",с 1920 до 1940,Многоэтажка,Хорошее
661711004760045,Корпус Г,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 5",с 1920 до 1940,Многоэтажка,Хорошее
661711004760055,Корпус Д,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 5",с 1920 до 1940,Многоэтажка,Хорошее
661711004760065,Корпус-вставка,Екатеринбург,"г. Екатеринбург, пр. Ленина, д. 5",с 1940 до 1960,Многоэтажка,Хорошее
661711004770005,Спасская церковь,Екатеринбург,"г. Екатеринбург, ул. Бисертская, д. 12а",с 1920 до 1940,Церковь,Удовлетворительное
661711004780005,Бани,Екатеринбург,"г. Екатеринбург, ул. XXII партсъезда, д. 6",с 1920 до 1940,Амбар,Удовлетворительное
661711004790005,Дом Левитских,Екатеринбург,"г. Екатеринбург, ул. Розы Люксембург, д. 9",период не определен,Домик,Хорошее
661711004800005,Церковь Иоанна Предтечи (действующая),Екатеринбург,"г. Екатеринбург, ул. Репина (Ивановское кладбище)",с 1850 до 1880,Церковь,Хорошее
661711004810005,Место захоронения героев гражданской войны,Екатеринбург,"г. Екатеринбург, Нижнеисетское кладбище",период не определен,Монумент,Не доступен
661711004820005,Могила хирурга А.Т. Лидского,Екатеринбург,"г. Екатеринбург, Широкореченское кладбище",после 1960,Монумент,Не доступен
661711004830005,Могила дирижера А.Э. Маргуляна,Екатеринбург,"г. Екатеринбург, Широкореченское кладбище",с 1940 до 1960,Монумент,Не доступен
661711004840005,Могила писателя И.И. Ликстанова,Екатеринбург,"г. Екатеринбург, Ивановское кладбище",с 1940 до 1960,Монумент,Хорошее
661711004850005,Христорождественская единоверческая церковь,Екатеринбург,"г. Екатеринбург, ул. Школьников, д. 1",с 1800 до 1850,Церковь,Хорошее
661711004860006,Здание Управления Свердловской железной дороги,Екатеринбург,"г. Екатеринбург, ул. Челюскинцев, д. 11",с 1920 до 1940,Дворец,Хорошее
661711004870005,Контора Режевского завода,Реж,"г. Реж, ул. Советская",с 1800 до 1850,Завод,Плохое
661711004890006,Дом Главного начальника,Екатеринбург,"г. Екатеринбург, наб. Рабочей молодежи, д. 3 / пер. Химиков, д. 2",с 1800 до 1850,Дворец,Хорошее
661711004900005,Корпус пухоочистительной фабрики купца Г.Б. Перетца,Екатеринбург,"г. Екатеринбург, ул. Шейнкмана, д. 31",с 1940 до 1960,Домик,Хорошее
661711004910005,Больница,Екатеринбург,"г. Екатеринбург, ул. Старых Большевиков, д. 9",с 1940 до 1960,Многоэтажка,Удовлетворительное
661711004920006,"Дом, в котором находился штаб областного Екатеринбургского комитета РСДРП (б) во главе с Малышевым, Вайнером и Хохряковым",Екатеринбург,"г. Екатеринбург, ул. Малышева, д. 46",период не определен,Домик,Хорошее
661711004940015,Дом жилой с магазином,Екатеринбург,"г. Екатеринбург, ул. Малышева, д. 64 / ул. Гоголя, д. 1",с 1850 до 1880,Домик,Хорошее
661711004940025,Магазин,Екатеринбург,"г. Екатеринбург, ул. Малышева, д. 64 / ул. Гоголя, д. 1",с 1850 до 1880,Домик,Хорошее
661711004940035,Лавка,Екатеринбург,"г. Екатеринбург, ул. Малышева, д. 64 / ул. Гоголя, д. 1",с 1850 до 1880,Домик,Удовлетворительное
